batter,runs,balls,fours,sixes,strike_rate,dismissal
Gautam Gambhir,8,8,1,0,100.0,run out (Jakati)
Piyush Chawla,11,16,1,0,68.75,b Dwayne Smith
Robin Uthappa,25,19,3,1,131.58,c D Karthik b Dwayne Smith
Shakib Al Hasan,3,8,0,0,37.5,c Dwivedi b Dwayne Smith
Morne Morkel,1,1,0,0,100.0,not out
Yusuf Pathan,36,36,3,1,100.0,c Raina b D Kulkarni
Manish Pandey,1,3,0,0,33.33,c Raina b Dwayne Smith
Sunil Narine,2,7,0,0,28.57,not out
Suryakumar Yadav,17,14,1,1,121.43,c D Kulkarni b Jakati
Jason Holder,13,8,1,1,162.5,c Finch b DJ Bravo
