batter,runs,balls,fours,sixes,strike_rate,dismissal
Yuvraj Singh,19,12,1,2,158.33,c (sub)Sathish b Shakib
Moises Henriques,11,10,1,0,110.0,b Narine
Shikhar Dhawan,51,30,4,3,170.0,c Munro b Kuldeep Yadav
Naman Ojha,15,25,1,0,60.0,c Uthappa b Narine
Bhuvneshwar Kumar,5,4,1,0,125.0,c (sub)Sathish b Rajpoot
David Warner,18,16,1,1,112.5,b Narine
Karn Sharma,8,11,0,0,72.73,not out
Kane Williamson,7,9,0,0,77.78,c Suryakumar Yadav b Kuldeep Yadav
Barinder Sran,2,2,0,0,100.0,not out
Deepak Hooda,2,2,0,0,100.0,run out (Shakib/Kuldeep Yadav)
