batter,runs,balls,fours,sixes,strike_rate,dismissal
Dinesh Karthik,26,30,2,0,86.67,b C Jordan
Brendon McCullum,1,4,0,0,25.0,c de Villiers b I Abdulla
Dwayne Bravo,8,6,1,0,133.33,b Watson
Dwayne Smith,73,41,5,6,178.05,c Kohli b Chahal
Suresh Raina,1,9,0,0,11.11,c Aravind b Watson
Ravindra Jadeja,3,7,0,0,42.86,c Gayle b Watson
Praveen Kumar,1,2,0,0,50.0,b C Jordan
Dhawal Kulkarni,10,4,2,0,250.0,run out (Sachin Baby/Rahul)
Aaron Finch,4,6,1,0,66.67,c Gayle b I Abdulla
Shadab Jakati,1,2,0,0,50.0,not out
Eklavya Dwivedi,19,9,1,2,211.11,c Kohli b Watson
