batter,runs,balls,fours,sixes,strike_rate,dismissal
Gayle,8,11,1,0,72.73,c Karthik b Andrew Tye
Kohli,10,13,0,1,76.92,c Finch b Basil Thampi
de Villiers,5,11,0,0,45.45,run out (Ravindra Jadeja)
Head,0,1,0,0,0.0,c Raina b Andrew Tye
Kedar Jadhav,31,18,4,1,172.22,b Ravindra Jadeja
Mandeep,8,14,0,0,57.14,c Ravindra Jadeja b Andrew Tye
Negi,32,19,3,2,168.42,c Basil Thampi b Ankit Soni
Badree,3,3,0,0,100.0,c Ishan Kishan b Ravindra Jadeja
Aravind,9,16,0,0,56.25,c Brendon McCullum b Faulkner
Aniket Choudhary,15,12,1,0,125.0,not out
Chahal,1,2,0,0,50.0,run out (Brendon McCullum/Karthik)
