batter,runs,balls,fours,sixes,strike_rate,dismissal
Travis Head,2,5,0,0,40.0,b Unadkat
Virat Kohli,55,48,4,1,114.58,c (sub)Mayank Agarwal b Christian
AB de Villiers,3,8,0,0,37.5,c Manoj Tiwary b Lockie Ferguson
Kedar Jadhav,7,12,1,0,58.33,run out (Lockie Ferguson/Dhoni)
Sachin Baby,2,4,0,0,50.0,c Steven Smith b Washington Sundar
Stuart Binny,1,7,0,0,14.29,c Washington Sundar b Lockie Ferguson
Pawan Negi,3,7,0,0,42.86,c Christian b Tahir
Adam Milne,5,8,0,0,62.5,c Steven Smith b Tahir
Samuel Badree,2,7,0,0,28.57,b Tahir
Sreenath Aravind,8,5,1,0,160.0,not out
Yuzvendra Chahal,4,9,0,0,44.44,not out
