batter,runs,balls,fours,sixes,strike_rate,dismissal
Ishan Kishan,48,35,6,2,137.14,c Pollard b Harbhajan
Brendon McCullum,6,4,1,0,150.0,b Malinga
Raina,1,3,0,0,33.33,c Pollard b Bumrah
Finch,0,3,0,0,0.0,b Malinga
Karthik,2,8,0,0,25.0,st Parthiv Patel b Krunal Pandya
Ravindra Jadeja,28,21,2,1,133.33,c and b Krunal Pandya
Faulkner,21,27,2,0,77.78,b Bumrah
Irfan Pathan,2,3,0,0,66.67,c Hardik Pandya b Krunal Pandya
Andrew Tye,25,12,2,2,208.33,run out (Bumrah)
Basil Thampi,2,4,0,0,50.0,not out
Ankit Soni,7,2,0,1,350.0,not out
