batter,runs,balls,fours,sixes,strike_rate,dismissal
Sanju Samson,10,7,2,0,142.86,b Sangwan
Karun Nair,30,15,5,1,200.0,c Dwayne Smith b Faulkner
Rishabh Pant,4,2,1,0,200.0,run out (Raina)
Shreyas Iyer,96,57,15,2,168.42,b Basil Thampi
Marlon Samuels,1,4,0,0,25.0,run out (Ravindra Jadeja)
Corey Anderson,6,6,1,0,100.0,run out (Ravindra Jadeja)
Carlos Brathwaite,11,10,2,0,110.0,c and b D Kulkarni
Pat Cummins,24,13,2,1,184.62,c Dwayne Smith b Faulkner
Mohammed Shami,4,2,1,0,200.0,not out
Amit Mishra,8,2,2,0,400.0,not out
