batter,runs,balls,fours,sixes,strike_rate,dismissal
Guptill,0,1,0,0,0.0,c Manoj Tiwary b Unadkat
Saha,13,17,0,1,76.47,c Dhoni b Christian
Shaun Marsh,10,13,2,0,76.92,c Steven Smith b SN Thakur
Morgan,4,4,1,0,100.0,run out (Unadkat)
Rahul Tewatia,4,3,1,0,133.33,c Unadkat b SN Thakur
Maxwell,0,3,0,0,0.0,c A Rahane b SN Thakur
Axar,22,20,1,1,110.0,c Dhoni b Christian
Swapnil Singh,10,17,0,0,58.82,c Dhoni b Unadkat
Mohit Sharma,6,12,0,0,50.0,c Christian b Zampa
Ishant,1,5,0,0,20.0,c Steven Smith b Zampa
