batter,runs,balls,fours,sixes,strike_rate,dismissal
Virat Kohli,92,62,7,4,148.39,not out
Quinton de Kock,19,12,2,1,158.33,b McClenaghan
AB de Villiers,1,2,0,0,50.0,c Hardik Pandya b McClenaghan
Mandeep Singh,16,14,1,0,114.29,st Ishan Kishan b Krunal Pandya
Corey Anderson,0,1,0,0,0.0,c (sub)Duminy b Krunal Pandya
Washington Sundar,7,8,1,0,87.5,c Suryakumar Yadav b Krunal Pandya
Sarfaraz Khan,5,6,1,0,83.33,st (sub)Tare b Markande
Chris Woakes,11,11,0,1,100.0,c Krunal Pandya b Bumrah
Umesh Yadav,1,2,0,0,50.0,c Rohit b Bumrah
Mohammed Siraj,8,3,0,1,266.67,not out
