batter,runs,balls,fours,sixes,strike_rate,dismissal
Dhawan,5,6,1,0,83.33,b McClenaghan
Williamson,29,21,5,0,138.1,c Ishan Kishan b Hardik Pandya
Saha,0,2,0,0,0.0,c Ishan Kishan b McClenaghan
Manish Pandey,16,11,3,0,145.45,c Rohit b Hardik Pandya
Shakib,2,4,0,0,50.0,run out (Suryakumar Yadav)
Y Pathan,29,33,2,1,87.88,c Hardik Pandya b Mustafizur
Nabi,14,10,2,0,140.0,b Markande
Rashid Khan,6,9,0,0,66.67,c Ishan Kishan b Bumrah
Basil Thampi,3,6,0,0,50.0,b Markande
S Kaul,2,9,0,0,22.22,run out (Hardik Pandya/Ishan Kishan)
Sandeep Sharma,0,1,0,0,0.0,not out
