batter,runs,balls,fours,sixes,strike_rate,dismissal
Parthiv Patel,53,41,5,2,129.27,c and b Ravindra Jadeja
Brendon McCullum,5,3,1,0,166.67,c SN Thakur b Lungi Ngidi
Kohli,8,11,1,0,72.73,b Ravindra Jadeja
de Villiers,1,4,0,0,25.0,st Dhoni b Harbhajan
Mandeep,7,13,0,0,53.85,c Willey b Ravindra Jadeja
de Grandhomme,8,8,1,0,100.0,c Raina b Willey
M Ashwin,1,2,0,0,50.0,st Dhoni b Harbhajan
Southee,36,26,3,1,138.46,not out
Umesh,1,5,0,0,20.0,run out (Willey)
Siraj,3,7,0,0,42.86,run out (Rayudu/Dhoni)
