batter,runs,balls,fours,sixes,strike_rate,dismissal
Sunil Narine,4,2,1,0,200.0,c Krunal Pandya b McClenaghan
Chris Lynn,21,15,3,1,140.0,run out (Suryakumar Yadav/Krunal Pandya)
Robin Uthappa,14,13,0,2,107.69,c Suryakumar Yadav b Markande
Nitish Rana,21,19,2,1,110.53,c Cutting b Hardik Pandya
Andre Russell,2,4,0,0,50.0,c Markande b Hardik Pandya
Dinesh Karthik,5,3,1,0,166.67,run out (Duminy/Hardik Pandya)
Rinku Singh,5,3,1,0,166.67,c Ishan Kishan b Bumrah
Tom Curran,18,17,3,0,105.88,c Duminy b Krunal Pandya
Piyush Chawla,11,13,1,0,84.62,c Suryakumar Yadav b Cutting
Kuldeep Yadav,5,15,0,0,33.33,lbw b Krunal Pandya
Prasidh Krishna,1,5,0,0,20.0,not out
