batter,runs,balls,fours,sixes,strike_rate,dismissal
Rahul,21,15,0,3,140.0,c de Grandhomme b Umesh
Gayle,18,14,4,0,128.57,c Siraj b Umesh
Nair,1,3,0,0,33.33,c Kohli b Siraj
Finch,26,23,1,2,113.04,c Kohli b Moeen
Stoinis,2,3,0,0,66.67,b Chahal
Mayank Agarwal,2,6,0,0,33.33,c Parthiv Patel b de Grandhomme
Axar,9,13,0,0,69.23,not out
Ashwin,0,1,0,0,0.0,run out ((sub)Negi/Parthiv Patel)
Andrew Tye,0,3,0,0,0.0,c Parthiv Patel b Umesh
Mohit Sharma,3,5,0,0,60.0,run out (de Villiers/Moeen)
Rajpoot,1,5,0,0,20.0,run out (Southee/Moeen)
