batter,runs,balls,fours,sixes,strike_rate,dismissal
A Rahane,13,13,2,0,100.0,c Rashid Khan b S Kaul
D Arcy Short,4,4,1,0,100.0,run out (Williamson)
Samson,49,42,5,0,116.67,c Rashid Khan b Shakib
Stokes,5,8,0,0,62.5,c Williamson b Stanlake
R Tripathi,17,15,2,0,113.33,c Manish Pandey b Shakib
Jos Buttler,6,9,0,0,66.67,b Rashid Khan
Gowtham,0,2,0,0,0.0,c Saha b S Kaul
Shreyas Gopal,18,18,2,0,100.0,c Y Pathan b Bhuvneshwar
D Kulkarni,3,4,0,0,75.0,not out
Unadkat,1,2,0,0,50.0,run out (Y Pathan/Saha)
Laughlin,1,3,0,0,33.33,not out
