batter,runs,balls,fours,sixes,strike_rate,dismissal
Virat Kohli,4,9,0,0,44.44,b Gowtham
Parthiv Patel,33,21,3,2,157.14,st Klaasen b Shreyas Gopal
AB de Villiers,53,35,7,0,151.43,st Klaasen b Shreyas Gopal
Moeen Ali,1,2,0,0,50.0,c and b Shreyas Gopal
Mandeep Singh,3,4,0,0,75.0,st Klaasen b Shreyas Gopal
Colin de Grandhomme,2,3,0,0,66.67,c A Rahane b Ish Sodhi
Sarfaraz Khan,7,8,1,0,87.5,c Klaasen b Laughlin
Tim Southee,14,17,2,0,82.35,c Gowtham b Unadkat
Umesh Yadav,0,1,0,0,0.0,b Laughlin
Mohammed Siraj,14,12,2,0,116.67,c Gowtham b Unadkat
Yuzvendra Chahal,0,4,0,0,0.0,not out
