batter,runs,balls,fours,sixes,strike_rate,dismissal
Chris Lynn,48,31,6,2,154.84,lbw b Rashid Khan
Sunil Narine,26,13,4,1,200.0,c C Brathwaite b S Kaul
Nitish Rana,22,16,1,2,137.5,run out (Rashid Khan/Saha)
Robin Uthappa,2,8,0,0,25.0,b Rashid Khan
Dinesh Karthik,8,6,1,0,133.33,b Shakib
Shubman Gill,30,20,2,1,150.0,c Rashid Khan b C Brathwaite
Andre Russell,3,7,0,0,42.86,c Dhawan b Rashid Khan
Piyush Chawla,12,12,0,1,100.0,b S Kaul
Shivam Mavi,6,4,1,0,150.0,c Rashid Khan b C Brathwaite
Kuldeep Yadav,0,3,0,0,0.0,not out
