batter,runs,balls,fours,sixes,strike_rate,dismissal
David Warner,51,47,3,1,108.51,c Shreyas Iyer b Rabada
Jonny Bairstow,41,31,5,1,132.26,c Rabada b Keemo Paul
Kane Williamson,3,8,0,0,37.5,c Rabada b Keemo Paul
Ricky Bhui,7,12,0,0,58.33,c Axar b Keemo Paul
Vijay Shankar,1,2,0,0,50.0,c Pant b Rabada
Deepak Hooda,3,4,0,0,75.0,b Chris Morris
Abhishek Sharma,2,3,0,0,66.67,c Keemo Paul b Chris Morris
Rashid Khan,0,1,0,0,0.0,c Keemo Paul b Chris Morris
Bhuvneshwar Kumar,2,4,0,0,50.0,c and b Rabada
Sandeep Sharma,1,1,0,0,100.0,not out
K Khaleel Ahmed,0,1,0,0,0.0,b Rabada
