batter,runs,balls,fours,sixes,strike_rate,dismissal
Chris Lynn,51,47,4,1,108.51,c Williamson b Khaleel Ahmed
Narine,25,8,3,2,312.5,b Khaleel Ahmed
Shubman Gill,3,4,0,0,75.0,c Vijay Shankar b Khaleel Ahmed
Nitish Rana,11,11,1,0,100.0,c Bairstow b Bhuvneshwar
Karthik,6,4,1,0,150.0,run out (Vijay Shankar/Bairstow)
Rinku Singh,30,25,1,2,120.0,c Rashid Khan b Sandeep Sharma
A Russell,15,9,0,2,166.67,c Rashid Khan b Bhuvneshwar
Chawla,4,8,1,0,50.0,c Bairstow b Rashid Khan
Yarra Prithviraj,0,1,0,0,0.0,not out
Cariappa,9,3,0,1,300.0,not out
