batter,runs,balls,fours,sixes,strike_rate,dismissal
Murali Vijay,38,35,3,1,108.57,c Suryakumar Yadav b Bumrah
Shane Watson,8,4,2,0,200.0,c Rahul Chahar b Malinga
Suresh Raina,2,4,0,0,50.0,c Suryakumar Yadav b Hardik Pandya
Ambati Rayudu,0,3,0,0,0.0,b Krunal Pandya
Kedar Jadhav,6,11,0,0,54.55,b Krunal Pandya
Dhruv Shorey,5,8,0,0,62.5,c Rahul Chahar b Anukul Roy
Dwayne Bravo,20,17,2,0,117.65,c and b Malinga
Mitchell Santner,22,20,0,2,110.0,c Pollard b Malinga
Deepak Chahar,0,2,0,0,0.0,c Krunal Pandya b Bumrah
Harbhajan Singh,1,3,0,0,33.33,c Hardik Pandya b Malinga
