batter,runs,balls,fours,sixes,strike_rate,dismissal
Lokesh Rahul,79,56,4,5,141.07,c Williamson b Khaleel Ahmed
Chris Gayle,4,3,1,0,133.33,c Manish Pandey b Khaleel Ahmed
Mayank Agarwal,27,18,2,1,150.0,c Vijay Shankar b Rashid Khan
Nicholas Pooran,21,10,2,2,210.0,c Bhuvneshwar b Khaleel Ahmed
David Miller,11,11,1,0,100.0,c Vijay Shankar b Rashid Khan
Ravichandran Ashwin,0,1,0,0,0.0,c Manish Pandey b Rashid Khan
Simran Singh,16,17,1,1,94.12,lbw b Sandeep Sharma
Murugan Ashwin,1,1,0,0,100.0,not out
Mujeeb Ur Rahman,0,3,0,0,0.0,b Sandeep Sharma
Mohammed Shami,1,1,0,0,100.0,not out
