batter,runs,balls,fours,sixes,strike_rate,dismissal
Prithvi Shaw,5,6,1,0,83.33,lbw b D Chahar
Dhawan,18,14,3,0,128.57,c Dhoni b Harbhajan
Munro,27,24,4,0,112.5,c DJ Bravo b Ravindra Jadeja
Shreyas Iyer,13,18,1,0,72.22,c Raina b Tahir
Pant,38,25,2,1,152.0,c DJ Bravo b D Chahar
Axar,3,6,0,0,50.0,c Tahir b DJ Bravo
Sherfane Rutherford,10,12,0,1,83.33,c Watson b Harbhajan
Keemo Paul,3,7,0,0,42.86,b DJ Bravo
A Mishra,6,3,1,0,200.0,not out
Boult,6,3,0,1,200.0,b Ravindra Jadeja
Ishant,10,3,1,1,333.33,not out
