batter,runs,balls,fours,sixes,strike_rate,dismissal
Shubman Gill,28,22,2,1,127.27,c Pant b A Mishra
Sunil Narine,3,5,0,0,60.0,b Nortje
Nitish Rana,58,35,4,4,165.71,c (sub)Axar b Harshal Patel
Andre Russell,13,8,1,1,162.5,c Nortje b Rabada
Dinesh Karthik,6,8,0,0,75.0,c Dhawan b Harshal Patel
Eoin Morgan,44,18,1,5,244.44,c Hetmyer b Nortje
Pat Cummins,5,4,1,0,125.0,c Harshal Patel b Nortje
Rahul Tripathi,36,16,3,3,225.0,b Stoinis
Kamlesh Nagarkoti,3,3,0,0,100.0,not out
Shivam Mavi,1,3,0,0,33.33,not out
