batter,runs,balls,fours,sixes,strike_rate,dismissal
Prithvi Shaw,19,10,2,1,190.0,c and b Jofra Archer
Dhawan,5,4,1,0,125.0,c Jaiswal b Jofra Archer
Shreyas Iyer,22,18,4,0,122.22,run out (Jaiswal)
Pant,5,9,0,0,55.56,run out ((sub)Vohra/Rahul Tewatia)
Stoinis,39,30,0,4,130.0,c Steven Smith b Rahul Tewatia
Hetmyer,45,24,1,5,187.5,c Rahul Tewatia b Kartik Tyagi
Harshal Patel,16,15,1,0,106.67,c Rahul Tewatia b Jofra Archer
Axar,17,8,2,1,212.5,c Jos Buttler b Andrew Tye
Rabada,2,3,0,0,66.67,not out
Ashwin,0,1,0,0,0.0,not out
