batter,runs,balls,fours,sixes,strike_rate,dismissal
Tom Banton,8,12,0,0,66.67,b Navdeep Saini
Shubman Gill,34,25,3,1,136.0,run out (Udana/de Villiers)
Nitish Rana,9,14,1,0,64.29,b Washington Sundar
Eoin Morgan,8,12,1,0,66.67,c Udana b Washington Sundar
Dinesh Karthik,1,2,0,0,50.0,b Chahal
Andre Russell,16,10,2,1,160.0,c Siraj b Udana
Rahul Tripathi,16,22,1,0,72.73,c Chris Morris b Siraj
Pat Cummins,1,3,0,0,33.33,c Devdutt Padikkal b Chris Morris
Kamlesh Nagarkoti,4,7,0,0,57.14,b Chris Morris
Varun Chakravarthy,7,10,0,0,70.0,not out
Prasidh Krishna,2,3,0,0,66.67,not out
