batter,runs,balls,fours,sixes,strike_rate,dismissal
Ajinkya Rahane,26,19,3,1,136.84,lbw b Rashid Khan
Shikhar Dhawan,0,1,0,0,0.0,c Warner b Sandeep Sharma
Marcus Stoinis,5,6,1,0,83.33,c Warner b Nadeem
Shimron Hetmyer,16,13,3,0,123.08,b Rashid Khan
Rishabh Pant,36,35,3,1,102.86,c (sub)Goswami b Sandeep Sharma
Shreyas Iyer,7,12,0,0,58.33,c Williamson b Vijay Shankar
Axar Patel,1,4,0,0,25.0,c (sub)Priyam Garg b Rashid Khan
Kagiso Rabada,3,7,0,0,42.86,b T Natarajan
Ravichandran Ashwin,7,5,1,0,140.0,c Abdul Samad b Holder
Tushar Deshpande,20,9,2,1,222.22,not out
Anrich Nortje,1,3,0,0,33.33,c (sub)Priyam Garg b T Natarajan
