batter,runs,balls,fours,sixes,strike_rate,dismissal
Yashasvi Jaiswal,0,3,0,0,0.0,b Shakib
Liam Livingstone,6,6,1,0,100.0,c Tripathi b Lockie Ferguson
Sanju Samson,1,4,0,0,25.0,c Morgan b Shivam Mavi
Shivam Dube,18,20,0,1,90.0,b Shivam Mavi
Anuj Rawat,0,1,0,0,0.0,lbw b Lockie Ferguson
Glenn Phillips,8,12,0,1,66.67,b Shivam Mavi
Rahul Tewatia,44,36,5,2,122.22,b Shivam Mavi
Chris Morris,0,2,0,0,0.0,lbw b Chakaravarthy
Jaydev Unadkat,6,5,1,0,120.0,c Shakib b Lockie Ferguson
Chetan Sakariya,1,5,0,0,20.0,run out (Shakib/Karthik)
Mustafizur Rahman,0,3,0,0,0.0,not out
