batter,runs,balls,fours,sixes,strike_rate,dismissal
Wriddhiman Saha,1,9,0,0,11.11,c Maxwell b Siraj
David Warner,54,37,7,1,145.95,c Christian b Jamieson
Manish Pandey,38,39,2,2,97.44,c Harshal Patel b Shahbaz Ahmed
Jonny Bairstow,12,13,1,0,92.31,c de Villiers b Shahbaz Ahmed
Abdul Samad,0,2,0,0,0.0,c and b Shahbaz Ahmed
Vijay Shankar,3,5,0,0,60.0,c Kohli b Harshal Patel
Jason Holder,4,5,0,0,80.0,c Christian b Siraj
Rashid Khan,17,9,1,1,188.89,run out (Siraj/de Villiers)
Bhuvneshwar Kumar,2,2,0,0,100.0,not out
Shahbaz Nadeem,0,1,0,0,0.0,c Shahbaz Ahmed b Harshal Patel
