batter,runs,balls,fours,sixes,strike_rate,dismissal
David Warner,36,34,2,2,105.88,run out (Hardik Pandya)
Jonny Bairstow,43,22,3,4,195.45,hit wkt b Krunal Pandya
Manish Pandey,2,7,0,0,28.57,c Pollard b Rahul Chahar
Virat Singh,11,12,1,0,91.67,c Suryakumar Yadav b Rahul Chahar
Vijay Shankar,28,25,0,2,112.0,c Suryakumar Yadav b Bumrah
Abhishek Sharma,2,4,0,0,50.0,c Milne b Rahul Chahar
Abdul Samad,7,8,1,0,87.5,run out (Hardik Pandya)
Rashid Khan,0,1,0,0,0.0,lbw b Boult
Bhuvneshwar Kumar,1,2,0,0,50.0,b Boult
Mujeeb Ur Rahman,1,1,0,0,100.0,not out
Khaleel Ahmed,1,2,0,0,50.0,b Boult
