batter,runs,balls,fours,sixes,strike_rate,dismissal
Mayank Agarwal,4,2,1,0,200.0,c Uthappa b Mukesh Choudhary
Dhawan,33,24,4,1,137.5,c Ravindra Jadeja b DJ Bravo
B Rajapaksa,9,5,0,1,180.0,run out (Chris Jordan/Dhoni)
Livingstone,60,32,5,5,187.5,c Rayudu b Ravindra Jadeja
Jitesh Sharma,26,17,0,3,152.94,c Uthappa b Pretorius
Shahrukh Khan,6,11,0,0,54.55,c Pretorius b Chris Jordan
Odean Smith,3,7,0,0,42.86,c DJ Bravo b Chris Jordan
Rabada,12,12,1,0,100.0,not out
Rahul Chahar,12,8,1,1,150.0,c DJ Bravo b Pretorius
Vaibhav Arora,1,2,0,0,50.0,not out
