batter,runs,balls,fours,sixes,strike_rate,dismissal
Abhishek Sharma,13,11,2,0,118.18,c Manish Pandey b Avesh Khan
Kane Williamson,16,16,1,1,100.0,c Andrew Tye b Avesh Khan
Rahul Tripathi,44,30,5,1,146.67,c Ravi Bishnoi b Krunal Pandya
Aiden Markram,12,14,0,0,85.71,c Rahul b Krunal Pandya
Nicholas Pooran,34,24,3,2,141.67,c Deepak Hooda b Avesh Khan
Washington Sundar,18,14,1,0,128.57,c Rahul b Holder
Abdul Samad,0,1,0,0,0.0,c de Kock b Avesh Khan
Romario Shepherd,8,8,0,1,100.0,c Ayush Badoni b Holder
Bhuvneshwar Kumar,1,2,0,0,50.0,c de Kock b Holder
Umran Malik,1,1,0,0,100.0,not out
