batter,runs,balls,fours,sixes,strike_rate,dismissal
Rohit Sharma,28,17,3,2,164.71,c Vaibhav Arora b Rabada
Ishan Kishan,3,6,0,0,50.0,c Jitesh Sharma b Vaibhav Arora
Dewald Brevis,49,25,4,5,196.0,c Arshdeep Singh b Odean Smith
Tilak Varma,36,20,3,2,180.0,run out (Mayank Agarwal/Arshdeep Singh)
Suryakumar Yadav,43,30,1,4,143.33,c Odean Smith b Rabada
Kieron Pollard,10,11,1,0,90.91,run out (Odean Smith/Jitesh Sharma)
Jaydev Unadkat,12,7,0,1,171.43,c Mayank Agarwal b Odean Smith
Murugan Ashwin,0,2,0,0,0.0,not out
Jasprit  Bumrah,0,1,0,0,0.0,c Dhawan b Odean Smith
Tymal Mills,0,2,0,0,0.0,c Mayank Agarwal b Odean Smith
