batter,runs,balls,fours,sixes,strike_rate,dismissal
W Saha,21,17,3,1,123.53,c Mayank Agarwal b Rabada
Shubman Gill,9,6,2,0,150.0,run out (Rishi Dhawan)
Sai Sudharsan,65,50,5,1,130.0,not out
Hardik Pandya,1,7,0,0,14.29,c Jitesh Sharma b Rishi Dhawan
Miller,11,14,0,0,78.57,c Rabada b Livingstone
Rahul Tewatia,11,13,0,0,84.62,c Sandeep Sharma b Rabada
Rashid Khan,0,1,0,0,0.0,c Jitesh Sharma b Rabada
Sangwan,2,5,0,0,40.0,b Arshdeep Singh
Lockie Ferguson,5,3,1,0,166.67,c Livingstone b Rabada
Alzarri Joseph,4,5,0,0,80.0,not out
