batter,runs,balls,fours,sixes,strike_rate,dismissal
Baba Indrajith,0,6,0,0,0.0,c Ayush Badoni b Mohsin Khan
Aaron Finch,14,14,1,0,100.0,c de Kock b Holder
Shreyas Iyer,6,9,1,0,66.67,c Ayush Badoni b Chameera
Nitish Rana,2,11,0,0,18.18,b Avesh Khan
Rinku Singh,6,10,0,0,60.0,c Krunal Pandya b Ravi Bishnoi
Andre Russell,45,19,3,5,236.84,c Holder b Avesh Khan
Sunil Narine,22,12,3,1,183.33,c Krunal Pandya b Holder
Anukul Roy,0,2,0,0,0.0,c de Kock b Avesh Khan
Shivam Mavi,1,2,0,0,50.0,not out
Tim Southee,0,1,0,0,0.0,c Avesh Khan b Holder
Harshit Rana,2,1,0,0,200.0,run out (Ayush Badoni/Holder)
