batter,runs,balls,fours,sixes,strike_rate,dismissal
Bairstow,66,29,4,7,227.59,c Siraj b Shahbaz Ahmed
Dhawan,21,15,2,1,140.0,b Maxwell
B Rajapaksa,1,3,0,0,33.33,c Harshal Patel b W Hasaranga
Livingstone,70,42,5,4,166.67,c Karthik b Harshal Patel
Mayank Agarwal,19,16,3,0,118.75,c W Hasaranga b Harshal Patel
Jitesh Sharma,9,5,2,0,180.0,b W Hasaranga
Harpreet Brar,7,5,0,1,140.0,c Karthik b Harshal Patel
Rishi Dhawan,7,3,0,1,233.33,c Maxwell b Harshal Patel
Rahul Chahar,2,2,0,0,100.0,run out (Maxwell/Karthik)
Rabada,0,1,0,0,0.0,not out
