batter,runs,balls,fours,sixes,strike_rate,dismissal
Jonny Bairstow,28,15,4,1,186.67,c Axar b Nortje
Shikhar Dhawan,19,16,3,0,118.75,c Pant b Thakur
Bhanuka Rajapaksa,4,5,1,0,80.0,c Nortje b Thakur
Liam Livingstone,3,5,0,0,60.0,st Pant b Kuldeep Yadav
Mayank Agarwal,0,2,0,0,0.0,b Axar
Jitesh Sharma,44,34,3,2,129.41,c Warner b Thakur
Harpreet Brar,1,2,0,0,50.0,b Kuldeep Yadav
Rishi Dhawan,4,13,0,0,30.77,b Axar
Rahul Chahar,25,24,2,1,104.17,not out
Kagiso Rabada,6,2,0,1,300.0,c Rovman Powell b Thakur
Arshdeep Singh,2,3,0,0,66.67,not out
