batter,runs,balls,fours,sixes,strike_rate,dismissal
Prithvi Shaw,0,3,0,0,0.0,c Samson b Boult
David Warner,65,55,7,0,118.18,lbw b Chahal
Manish Pandey,0,1,0,0,0.0,lbw b Boult
Rilee Rossouw,14,12,2,0,116.67,c Yashasvi Jaiswal b Ashwin
Lalit Yadav,38,24,5,0,158.33,b Boult
Axar Patel,2,6,0,0,33.33,st Samson b Chahal
Rovman Powell,2,2,0,0,100.0,c Hetmyer b Ashwin
Abishek Porel,7,9,1,0,77.78,c Hetmyer b Chahal
Kuldeep Yadav,3,7,0,0,42.86,not out
Anrich Nortje,0,1,0,0,0.0,b Sandeep Sharma
Mukesh Kumar,1,1,0,0,100.0,not out
