batter,runs,balls,fours,sixes,strike_rate,dismissal
Kyle Mayers,0,3,0,0,0.0,b Siraj
KL Rahul,18,20,1,0,90.0,c Kohli b Siraj
Deepak Hooda,9,10,1,0,90.0,c Karthik b Parnell
Krunal Pandya,0,2,0,0,0.0,c Karthik b Parnell
Marcus Stoinis,65,30,6,5,216.67,c Shahbaz Ahmed b Karn Sharma
Nicholas Pooran,62,19,4,7,326.32,c Shahbaz Ahmed b Siraj
Ayush Badoni,30,24,4,0,125.0,hit wkt b Parnell
Jaydev Unadkat,9,7,1,0,128.57,c du Plessis b Harshal Patel
Mark Wood,1,2,0,0,50.0,b Harshal Patel
Ravi Bishnoi,3,2,0,0,150.0,not out
Avesh Khan,0,1,0,0,0.0,not out
