batter,runs,balls,fours,sixes,strike_rate,dismissal
Rahul,74,56,8,1,132.14,c (sub)Nathan Ellis b Arshdeep Singh
K Mayers,29,23,1,3,126.09,c Harpreet Singh b Harpreet Brar
Deepak Hooda,2,3,0,0,66.67,lbw b Raza
Krunal Pandya,18,17,2,0,105.88,c Shahrukh Khan b Rabada
Pooran,0,1,0,0,0.0,c Shahrukh Khan b Rabada
Stoinis,15,11,0,2,136.36,c Jitesh Sharma b Sam Curran
Ayush Badoni,5,6,0,0,83.33,not out
K Gowtham,1,2,0,0,50.0,c Raza b Sam Curran
Yudhvir Singh,0,1,0,0,0.0,c Shahrukh Khan b Sam Curran
Ravi Bishnoi,3,1,0,0,300.0,not out
