batter,runs,balls,fours,sixes,strike_rate,dismissal
Atharva Taide,4,2,1,0,200.0,lbw b Siraj
Prabhsimran Singh,46,30,3,4,153.33,b Parnell
Matthew Short,8,7,0,1,114.29,b W Hasaranga
Liam Livingstone,2,4,0,0,50.0,lbw b Siraj
Harpreet Singh Bhatia,13,9,1,1,144.44,run out (Siraj)
Sam Curran,10,12,1,0,83.33,run out (W Hasaranga)
Jitesh Sharma,41,27,2,3,151.85,c Shahbaz Ahmed b Harshal Patel
Shahrukh Khan,7,5,0,1,140.0,st Karthik b W Hasaranga
Harpreet Brar,13,13,1,0,100.0,b Siraj
Nathan Ellis,1,2,0,0,50.0,b Siraj
