batter,runs,balls,fours,sixes,strike_rate,dismissal
Kohli,0,1,0,0,0.0,lbw b Boult
du Plessis,62,39,8,2,158.97,run out (Yashasvi Jaiswal)
Shahbaz Ahmed,2,4,0,0,50.0,c Yashasvi Jaiswal b Boult
Maxwell,77,44,6,4,175.0,c Holder b Ashwin
Lomror,8,6,1,0,133.33,c Padikkal b Chahal
Karthik,16,13,2,0,123.08,c Jos Buttler b Sandeep Sharma
Prabhudessai,0,2,0,0,0.0,run out (Yashasvi Jaiswal/Samson)
W Hasaranga,6,7,0,0,85.71,run out (Samson/Sandeep Sharma)
Willey,4,2,1,0,200.0,not out
Vijaykumar Vyshak,0,1,0,0,0.0,c Hetmyer b Sandeep Sharma
Siraj,1,1,0,0,100.0,not out
