batter,runs,balls,fours,sixes,strike_rate,dismissal
Prithvi Shaw,12,9,2,0,133.33,b Mark Wood
David Warner,56,48,7,0,116.67,c K Gowtham b Avesh Khan
Mitchell Marsh,0,1,0,0,0.0,b Mark Wood
Sarfaraz Khan,4,9,1,0,44.44,c K Gowtham b Mark Wood
Rilee Rossouw,30,20,3,1,150.0,c K Mayers b Ravi Bishnoi
Rovman Powell,1,3,0,0,33.33,lbw b Ravi Bishnoi
Aman Hakim Khan,4,5,0,0,80.0,c Pooran b Avesh Khan
Axar Patel,16,11,1,1,145.45,c (sub)Prerak Mankad b Mark Wood
Kuldeep Yadav,6,10,0,0,60.0,not out
Chetan Sakariya,4,4,1,0,100.0,c Krunal Pandya b Mark Wood
Mukesh Kumar,0,1,0,0,0.0,not out
