batter,runs,balls,fours,sixes,strike_rate,dismissal
Kohli,31,30,3,0,103.33,st Pooran b Ravi Bishnoi
du Plessis,44,40,1,1,110.0,c Krunal Pandya b Amit Mishra
Anuj Rawat,9,11,0,0,81.82,c K Mayers b K Gowtham
Maxwell,4,5,0,0,80.0,lbw b Ravi Bishnoi
Prabhudessai,6,7,0,0,85.71,c K Gowtham b Amit Mishra
Karthik,16,11,1,1,145.45,run out (Yash Thakur)
Lomror,3,4,0,0,75.0,lbw b Naveen-ul-Haq
W Hasaranga,8,7,1,0,114.29,not out
Karn Sharma,2,2,0,0,100.0,c K Gowtham b Naveen-ul-Haq
Siraj,0,1,0,0,0.0,c Pooran b Naveen-ul-Haq
Hazlewood,1,2,0,0,50.0,not out
