batter,runs,balls,fours,sixes,strike_rate,dismissal
Warner,37,32,7,0,115.62,b Alzarri Joseph
Prithvi Shaw,7,5,1,0,140.0,c Alzarri Joseph b Shami
Mitchell Marsh,4,4,1,0,100.0,b Shami
Sarfaraz Khan,30,34,2,0,88.24,c Joshua Little b Rashid Khan
Rossouw,0,1,0,0,0.0,c Rahul Tewatia b Alzarri Joseph
Abishek Porel,20,11,0,2,181.82,b Rashid Khan
Axar,36,22,2,3,163.64,c Miller b Shami
Aman Hakim Khan,8,8,0,1,100.0,c Hardik Pandya b Rashid Khan
Kuldeep Yadav,1,1,0,0,100.0,not out
Nortje,4,2,1,0,200.0,not out
