batter,runs,balls,fours,sixes,strike_rate,dismissal
Virat Kohli,21,18,3,0,116.67,b Narine
Faf du Plessis,23,12,2,2,191.67,b Chakaravarthy
Michael Bracewell,19,18,1,1,105.56,c Nitish Rana b Thakur
Glenn Maxwell,5,7,1,0,71.43,b Chakaravarthy
Harshal Patel,0,2,0,0,0.0,b Chakaravarthy
Shahbaz Ahmed,1,5,0,0,20.0,c Thakur b Narine
Dinesh Karthik,9,8,1,0,112.5,c Chakaravarthy b Suyash Sharma
Anuj Rawat,1,5,0,0,20.0,c Narine b Suyash Sharma
David Willey,20,20,2,0,100.0,not out
Karn Sharma,1,3,0,0,33.33,c Nitish Rana b Suyash Sharma
Akash Deep,17,8,2,1,212.5,c and b Chakaravarthy
