batter,runs,balls,fours,sixes,strike_rate,dismissal
Ishan Kishan,16,14,2,1,114.29,c Samson b Nandre Burger
Rohit,0,1,0,0,0.0,c Samson b Boult
Naman Dhir,0,1,0,0,0.0,lbw b Boult
Dewald Brevis,0,1,0,0,0.0,c Nandre Burger b Boult
Tilak Varma,32,29,0,2,110.34,c Ashwin b Chahal
Hardik Pandya,34,21,6,0,161.9,c (sub)Rovman Powell b Chahal
Chawla,3,6,0,0,50.0,c Hetmyer b Avesh Khan
Tim David,17,24,1,0,70.83,c Boult b Nandre Burger
Gerald Coetzee,4,9,0,0,44.44,c Hetmyer b Chahal
Bumrah,8,9,1,0,88.89,not out
Akash Madhwal,4,5,0,0,80.0,not out
