batter,runs,balls,fours,sixes,strike_rate,dismissal
Warner,29,21,3,2,138.1,c Jitesh Sharma b Harshal Patel
Mitchell Marsh,20,12,2,2,166.67,c Rahul Chahar b Arshdeep Singh
Shai Hope,33,25,2,2,132.0,c Harpreet Brar b Rabada
Pant,18,13,2,0,138.46,c Bairstow b Harshal Patel
Bhui,3,7,0,0,42.86,c Jitesh Sharma b Harpreet Brar
Tristan Stubbs,5,8,0,0,62.5,c Shashank Singh b Rahul Chahar
Axar,21,13,2,1,161.54,run out ((sub)T Thyagarajan/Jitesh Sharma)
Sumit Kumar,2,9,0,0,22.22,c Jitesh Sharma b Arshdeep Singh
Abishek Porel,32,10,4,2,320.0,not out
Kuldeep Yadav,1,2,0,0,50.0,run out (Shashank Singh/Harshal Patel)
