batter,runs,balls,fours,sixes,strike_rate,dismissal
Sam Curran,6,7,1,0,85.71,c Ishan Kishan b Bumrah
Prabhsimran Singh,0,1,0,0,0.0,c Ishan Kishan b Gerald Coetzee
Rilee Rossouw,1,3,0,0,33.33,b Bumrah
Liam Livingstone,1,2,0,0,50.0,c and b Gerald Coetzee
Harpreet Singh Bhatia,13,15,2,0,86.67,c and b Shreyas Gopal
Shashank Singh,41,25,2,3,164.0,c Tilak Varma b Bumrah
Jitesh Sharma,9,9,1,0,100.0,lbw b Akash Madhwal
Ashutosh Sharma,61,28,2,7,217.86,c Nabi b Gerald Coetzee
Harpreet Brar,21,20,2,1,105.0,c Nabi b Hardik Pandya
Harshal Patel,1,4,0,0,25.0,not out
Kagiso Rabada,8,3,0,1,266.67,run out (Nabi/Ishan Kishan)
