batter,runs,balls,fours,sixes,strike_rate,dismissal
Ishan Kishan,20,14,4,0,142.86,c Axar b Mukesh Kumar
Rohit Sharma,8,8,1,0,100.0,c Shai Hope b Khaleel Ahmed
Suryakumar Yadav,26,13,3,2,200.0,c Williams b Khaleel Ahmed
Tilak Varma,63,32,4,4,196.88,run out ((sub)Sumit Kumar/Pant)
Hardik Pandya,46,24,4,3,191.67,c Mukesh Kumar b Rasikh Salam
Nehal Wadhera,4,2,1,0,200.0,c Pant b Rasikh Salam
Tim David,37,17,2,3,217.65,lbw b Mukesh Kumar
Mohammad Nabi,7,4,0,1,175.0,c Shai Hope b Rasikh Salam
Piyush Chawla,10,4,1,1,250.0,c Shai Hope b Mukesh Kumar
Luke Wood,9,3,0,1,300.0,not out
