batter,runs,balls,fours,sixes,strike_rate,dismissal
Prabhsimran Singh,30,23,2,2,130.43,c (sub)Sameer Rizvi b Ravindra Jadeja
Jonny Bairstow,7,6,1,0,116.67,b Tushar Deshpande
Rilee Rossouw,0,3,0,0,0.0,b Tushar Deshpande
Shashank Singh,27,20,4,0,135.0,c Simarjeet Singh b Santner
Sam Curran,7,11,0,0,63.64,c Santner b Ravindra Jadeja
Jitesh Sharma,0,1,0,0,0.0,c Dhoni b Simarjeet Singh
Ashutosh Sharma,3,10,0,0,30.0,c Simarjeet Singh b Ravindra Jadeja
Harpreet Brar,17,13,2,0,130.77,not out
Harshal Patel,12,13,1,1,92.31,c (sub)Sameer Rizvi b Simarjeet Singh
Rahul Chahar,16,10,2,1,160.0,b Thakur
Kagiso Rabada,11,10,0,1,110.0,not out
