batter,runs,balls,fours,sixes,strike_rate,dismissal
KL Rahul,25,21,3,0,119.05,c Ramandeep Singh b Harshit Rana
Arshin Kulkarni,9,7,2,0,128.57,c Ramandeep Singh b Starc
Marcus Stoinis,36,21,4,2,171.43,c Harshit Rana b Russell
Deepak Hooda,5,3,1,0,166.67,lbw b Chakaravarthy
Nicholas Pooran,10,8,0,1,125.0,c Salt b Russell
Ayush Badoni,15,12,0,1,125.0,c Starc b Narine
Ashton Turner,16,9,0,2,177.78,c and b Chakaravarthy
Krunal Pandya,5,6,0,0,83.33,c Salt b Harshit Rana
Yudhvir Singh Charak,7,7,0,1,100.0,c Russell b Chakaravarthy
Ravi Bishnoi,2,3,0,0,66.67,lbw b Harshit Rana
