batter,runs,balls,fours,sixes,strike_rate,dismissal
Ishan Kishan,40,22,5,2,181.82,c Rinku Singh b Narine
Rohit Sharma,19,24,1,1,79.17,c Narine b Chakaravarthy
Suryakumar Yadav,11,14,1,0,78.57,c Ramandeep Singh b Russell
Tilak Varma,32,17,5,1,188.24,c Salt b Harshit Rana
Hardik Pandya,2,4,0,0,50.0,c Vaibhav Arora b Chakaravarthy
Tim David,0,3,0,0,0.0,c Shreyas Iyer b Russell
Nehal Wadhera,3,3,0,0,100.0,run out (Starc/Salt)
Naman Dhir,17,6,1,2,283.33,c Rinku Singh b Harshit Rana
Anshul Kamboj,2,2,0,0,100.0,not out
Piyush Chawla,1,2,0,0,50.0,not out
