batter,runs,balls,fours,sixes,strike_rate,dismissal
Abhishek Sharma,2,5,0,0,40.0,b Starc
Head,0,1,0,0,0.0,c Gurbaz b Vaibhav Arora
Tripathi,9,13,1,0,69.23,c Ramandeep Singh b Starc
Markram,20,23,3,0,86.96,c Starc b Russell
Nitish Reddy,13,10,1,1,130.0,c Gurbaz b Harshit Rana
Klaasen,16,17,1,0,94.12,b Harshit Rana
Shahbaz Ahmed,8,7,0,1,114.29,c Narine b Chakaravarthy
Abdul Samad,4,4,0,0,100.0,c Gurbaz b Russell
Cummins,24,19,2,1,126.32,c Starc b Russell
Jaydev Unadkat,4,11,0,0,36.36,lbw b Narine
Bhuvneshwar,0,1,0,0,0.0,not out
