batter,runs,balls,fours,sixes,strike_rate,dismissal
Yashasvi Jaiswal,4,3,1,0,133.33,c Ashwin b Khaleel Ahmed
Samson,20,16,1,1,125.0,c Rachin Ravindra b Noor Ahmad
Nitish Rana,81,36,10,5,225.0,st Dhoni b Ashwin
Riyan Parag,37,28,2,2,132.14,b Matheesha Pathirana
Dhruv Jurel,3,7,0,0,42.86,c Matheesha Pathirana b Noor Ahmad
W Hasaranga,4,5,0,0,80.0,c Vijay Shankar b Ravindra Jadeja
Hetmyer,19,16,1,1,118.75,c Ashwin b Matheesha Pathirana
Jofra Archer,0,2,0,0,0.0,c Ruturaj Gaikwad b Khaleel Ahmed
Kumar Kartikeya,1,1,0,0,100.0,run out (Khaleel Ahmed)
M Theekshana,2,4,0,0,50.0,not out
Tushar Deshpande,1,2,0,0,50.0,not out
