batter,runs,balls,fours,sixes,strike_rate,dismissal
Rachin Ravindra,4,9,0,0,44.44,c Ajinkya Rahane b Harshit Rana
Conway,12,11,2,0,109.09,lbw b Moeen
Tripathi,16,22,1,0,72.73,b Narine
Vijay Shankar,29,21,2,1,138.1,c Moeen b Varun Chakaravarthy
Shivam Dube,31,29,3,0,106.9,not out
Ashwin,1,7,0,0,14.29,c Vaibhav Arora b Harshit Rana
Ravindra Jadeja,0,2,0,0,0.0,c de Kock b Narine
Deepak Hooda,0,4,0,0,0.0,c Vaibhav Arora b Varun Chakaravarthy
Dhoni,1,4,0,0,25.0,lbw b Narine
Noor Ahmad,1,8,0,0,12.5,c Varun Chakaravarthy b Vaibhav Arora
Anshul Kamboj,3,3,0,0,100.0,not out
