batter,runs,balls,fours,sixes,strike_rate,dismissal
Jake Fraser-McGurk,0,1,0,0,0.0,c Will Jacks b D Chahar
Abishek Porel,33,25,3,1,132.0,c Naman Dhir b Karn Sharma
Karun Nair,89,40,12,5,222.5,b Santner
KL Rahul,15,13,1,0,115.38,c and b Karn Sharma
Axar Patel,9,6,2,0,150.0,c Suryakumar Yadav b Bumrah
Tristan Stubbs,1,4,0,0,25.0,c Naman Dhir b Karn Sharma
Ashutosh Sharma,17,14,2,0,121.43,run out (Will Jacks/Rickelton)
Vipraj Nigam,14,8,1,1,175.0,st Rickelton b Santner
Mitchell Starc,1,1,0,0,100.0,not out
Kuldeep Yadav,1,1,0,0,100.0,run out ((sub)Raj Bawa/Rickelton)
Mohit Sharma,0,1,0,0,0.0,run out (Santner)
