batter,runs,balls,fours,sixes,strike_rate,dismissal
Quinton de Kock,2,4,0,0,50.0,c Suryansh Shedge b Xavier Bartlett
Sunil Narine,5,4,1,0,125.0,b Marco Jansen
Ajinkya Rahane,17,17,1,1,100.0,lbw b Chahal
Angkrish Raghuvanshi,37,28,5,1,132.14,c Xavier Bartlett b Chahal
Venkatesh Iyer,7,4,0,0,175.0,lbw b Maxwell
Rinku Singh,2,9,0,0,22.22,st Josh Inglis b Chahal
Andre Russell,17,11,1,2,154.55,b Marco Jansen
Ramandeep Singh,0,1,0,0,0.0,c Shreyas Iyer b Chahal
Harshit Rana,3,6,0,0,50.0,b Marco Jansen
Vaibhav Arora,0,7,0,0,0.0,c Josh Inglis b Arshdeep Singh
