batter,runs,balls,fours,sixes,strike_rate,dismissal
Shaik Rasheed,0,1,0,0,0.0,c Abhishek Sharma b Shami
Ayush Mhatre,30,19,6,0,157.89,c Ishan Kishan b Cummins
Sam Curran,9,10,1,0,90.0,c Aniket Verma b Harshal Patel
Ravindra Jadeja,21,17,1,1,123.53,b Kamindu Mendis
Dewald Brevis,42,25,1,4,168.0,c Kamindu Mendis b Harshal Patel
Shivam Dube,12,9,2,0,133.33,c Abhishek Sharma b Jaydev Unadkat
Deepak Hooda,22,21,1,1,104.76,c Abhishek Sharma b Jaydev Unadkat
Dhoni,6,10,1,0,60.0,c Abhishek Sharma b Harshal Patel
Anshul Kamboj,2,4,0,0,50.0,c Klaasen b Cummins
Noor Ahmad,2,3,0,0,66.67,c Shami b Harshal Patel
Khaleel Ahmed,1,2,0,0,50.0,not out
