batter,runs,balls,fours,sixes,strike_rate,dismissal
Gurbaz,26,12,5,1,216.67,c Abishek Porel b Mitchell Starc
Narine,27,16,2,2,168.75,lbw b Vipraj Nigam
Ajinkya Rahane,26,14,4,1,185.71,lbw b Axar
Angkrish Raghuvanshi,44,32,3,2,137.5,c Karun Nair b Chameera
Venkatesh Iyer,7,5,1,0,140.0,c Vipraj Nigam b Axar
Rinku Singh,36,25,3,1,144.0,c Mitchell Starc b Vipraj Nigam
Russell,17,9,2,1,188.89,run out (Abishek Porel)
Rovman Powell,5,5,1,0,100.0,lbw b Mitchell Starc
Anukul Roy,0,1,0,0,0.0,c Chameera b Mitchell Starc
Harshit Rana,0,1,0,0,0.0,not out
Varun Chakaravarthy,1,1,0,0,100.0,not out
