batter,runs,balls,fours,sixes,strike_rate,dismissal
Abishek Porel,4,2,1,0,200.0,c Russell b Anukul Roy
Faf du Plessis,62,45,7,2,137.78,c Rinku Singh b Narine
Karun Nair,15,13,2,0,115.38,lbw b Vaibhav Arora
KL Rahul,7,5,1,0,140.0,run out (Narine)
Axar Patel,43,23,4,3,186.96,c Harshit Rana b Narine
Tristan Stubbs,1,3,0,0,33.33,b Narine
Vipraj Nigam,38,19,5,2,200.0,b Russell
Ashutosh Sharma,7,6,0,1,116.67,c Narine b Varun Chakaravarthy
Mitchell Starc,0,1,0,0,0.0,c Gurbaz b Varun Chakaravarthy
Dushmantha Chameera,2,3,0,0,66.67,not out
Kuldeep Yadav,1,1,0,0,100.0,not out
