batter,runs,balls,fours,sixes,strike_rate,dismissal
Yashasvi Jaiswal,13,6,0,2,216.67,b Boult
Vaibhav Suryavanshi,0,2,0,0,0.0,c Will Jacks b D Chahar
Nitish Rana,9,11,2,0,81.82,c Tilak Varma b Boult
Riyan Parag,16,8,3,0,200.0,c Rohit b Bumrah
Dhruv Jurel,11,11,0,1,100.0,c and b Karn Sharma
Shimron Hetmyer,0,1,0,0,0.0,c Suryakumar Yadav b Bumrah
Shubham Dubey,15,9,2,1,166.67,c Boult b Hardik Pandya
Jofra Archer,30,27,2,2,111.11,c Bumrah b Boult
Maheesh Theekshana,2,9,0,0,22.22,c Suryakumar Yadav b Karn Sharma
Kumar Kartikeya,2,4,0,0,50.0,c D Chahar b Karn Sharma
Akash Madhwal,4,9,0,0,44.44,not out
