batter,runs,balls,fours,sixes,strike_rate,dismissal
Ayush Mhatre,0,2,0,0,0.0,c Harshit Rana b Vaibhav Arora
Devon Conway,0,2,0,0,0.0,b Moeen
Urvil Patel,31,11,1,4,281.82,c Varun Chakaravarthy b Harshit Rana
Ravichandran Ashwin,8,7,1,0,114.29,c Angkrish Raghuvanshi b Harshit Rana
Ravindra Jadeja,19,10,2,1,190.0,b Varun Chakaravarthy
Dewald Brevis,52,25,4,4,208.0,c Rinku Singh b Varun Chakaravarthy
Shivam Dube,45,40,2,3,112.5,c Rinku Singh b Vaibhav Arora
MS Dhoni,17,18,0,1,94.44,not out
Noor Ahmad,2,2,0,0,100.0,c Rinku Singh b Vaibhav Arora
Anshul Kamboj,4,1,1,0,400.0,not out
