batter,runs,balls,fours,sixes,strike_rate,dismissal
Ayush Mhatre,43,20,8,1,215.0,c Kwena Maphaka b Tushar Deshpande
Conway,10,8,2,0,125.0,c Riyan Parag b Yudhvir Singh
Urvil Patel,0,2,0,0,0.0,c Kwena Maphaka b Yudhvir Singh
Ashwin,13,8,1,1,162.5,c Hetmyer b W Hasaranga
Ravindra Jadeja,1,5,0,0,20.0,c Dhruv Jurel b Yudhvir Singh
Dewald Brevis,42,25,2,3,168.0,b Akash Madhwal
Shivam Dube,39,32,2,2,121.88,c Yashasvi Jaiswal b Akash Madhwal
Dhoni,16,17,0,1,94.12,c Tushar Deshpande b Akash Madhwal
Anshul Kamboj,5,3,1,0,166.67,not out
Noor Ahmad,2,1,0,0,200.0,not out
