batter,runs,balls,fours,sixes,strike_rate,dismissal
Sai Sudharsan,41,28,6,0,146.43,c Shivam Dube b Ravindra Jadeja
Shubman Gill,13,9,1,1,144.44,c Urvil Patel b Anshul Kamboj
Jos Buttler,5,7,0,0,71.43,c Anshul Kamboj b Khaleel Ahmed
Sherfane Rutherford,0,4,0,0,0.0,c Ayush Mhatre b Anshul Kamboj
Shahrukh Khan,19,15,0,2,126.67,c Matheesha Pathirana b Ravindra Jadeja
Rahul Tewatia,14,10,1,0,140.0,c Shivam Dube b Noor Ahmad
Rashid Khan,12,8,1,1,150.0,c Urvil Patel b Noor Ahmad
Gerald Coetzee,5,5,1,0,100.0,b Matheesha Pathirana
Arshad Khan,20,14,0,3,142.86,b Noor Ahmad
Ravisrinivasan Sai Kishore,3,7,0,0,42.86,c Dhoni b Anshul Kamboj
Mohammed Siraj,3,4,0,0,75.0,not out
