batter,runs,balls,fours,sixes,strike_rate,dismissal
Pathum Nissanka,41,24,5,2,170.83,c Dewald Brevis b Anshul Kamboj
KL Rahul,18,10,2,1,180.0,c Jamie Overton b Khaleel Ahmed
Sameer Rizvi,6,9,1,0,66.67,c Dewald Brevis b Jamie Overton
Axar Patel,1,2,0,0,50.0,c Sarfaraz Khan b Gurjapneet Singh
David Miller,17,14,1,1,121.43,b Jamie Overton
Tristan Stubbs,60,38,4,3,157.89,c Noor Ahmad b Jamie Overton
Ashutosh Sharma,19,10,1,2,190.0,c Anshul Kamboj b Noor Ahmad
Auqib Nabi Dar,4,2,1,0,200.0,c Akeal Hosein b Jamie Overton
Kuldeep Yadav,4,7,0,0,57.14,c Dewald Brevis b Anshul Kamboj
Lungi Ngidi,3,5,0,0,60.0,c Gurjapneet Singh b Anshul Kamboj
T Natarajan,1,2,0,0,50.0,not out
